"s_nation","d_year","lo_partkey","lo_revenue","lo_supplycost"
"ARGENTINA",1993,306208,1499524,72851
"ARGENTINA",1993,225751,7156326,100604
"BRAZIL",1992,107315,3566270,79338
"ARGENTINA",1992,457359,5449606,78979
"PERU",1992,222866,4114355,107331
"CANADA",1992,130448,2696674,88706
"BRAZIL",1992,382876,9406445,117531
"PERU",1993,597141,2206329,74287
"UNITED STATES",1992,41950,3670383,113517
"PERU",1993,385026,3556343,66660
"BRAZIL",1992,569305,2289550,82456
"BRAZIL",1993,12240,4535216,69134
"CANADA",1993,592863,2847703,117350
"PERU",1993,473661,6617022,98078
"UNITED STATES",1992,170043,771336,66782
"CANADA",1993,134920,379254,117295
"UNITED STATES",1993,567753,3852664,109243
"CANADA",1993,414574,4420993,89313
"CANADA",1992,406064,776032,58202
"ARGENTINA",1992,528666,8219004,101678
"PERU",1992,129194,587131,73391
"ARGENTINA",1993,590475,7044525,93927
"UNITED STATES",1992,224268,4190758,71535
"PERU",1992,283294,3682398,76636
"ARGENTINA",1993,9862,2524900,106311
"PERU",1992,526694,1307709,103240
"UNITED STATES",1992,173507,766542,94830
"UNITED STATES",1992,211435,1252170,80785
"PERU",1992,509268,4416695,76634
"ARGENTINA",1992,136053,3865038,65343
"ARGENTINA",1993,381112,3665203,71586
"PERU",1993,409286,107573,71715
"CANADA",1993,391377,2678288,88101
"PERU",1992,239375,2965196,78861
"ARGENTINA",1992,573440,6312474,90805
"UNITED STATES",1992,240227,1519707,70032
"CANADA",1992,68557,1035848,91533
"BRAZIL",1992,146412,3176416,87504
"CANADA",1992,133024,2209171,63421
"ARGENTINA",1992,127077,2677369,66244
"UNITED STATES",1992,537871,3264133,114531
"CANADA",1992,381948,2362838,121795
"UNITED STATES",1992,594608,5669591,102154
"ARGENTINA",1992,569870,5231775,116391
"CANADA",1993,98335,2327994,79999
"UNITED STATES",1993,219909,8251951,109733
"CANADA",1992,521145,107283,69967
"CANADA",1992,333251,2103585,77054
"UNITED STATES",1992,547608,2890642,99334
"ARGENTINA",1992,430242,3946864,70333
"CANADA",1992,103198,2679854,72071
"PERU",1992,437944,7452403,112915
"ARGENTINA",1992,259776,5103134,104145
"PERU",1992,356581,2947626,98254
"BRAZIL",1992,299775,3961264,106485
"BRAZIL",1992,455697,2062532,99160
"ARGENTINA",1992,262854,7656163,109010
"ARGENTINA",1992,113667,8067168,100839
"ARGENTINA",1992,262552,5125203,90872
"UNITED STATES",1992,296814,5501210,108648
"ARGENTINA",1992,293243,5288591,74173
"UNITED STATES",1993,286622,6001723,96516
"UNITED STATES",1993,2729,4242472,97903
"PERU",1993,255867,1574942,109371
"ARGENTINA",1992,160654,7655912,102879
"UNITED STATES",1992,169960,397872,121797
"BRAZIL",1992,511027,3724344,62280
"CANADA",1992,244955,5027241,113996
"UNITED STATES",1993,172197,1523028,76151
"UNITED STATES",1993,299576,2930541,94533
"CANADA",1993,378655,956969,104018
"CANADA",1993,309119,110553,67686
"CANADA",1993,359588,1757957,98854
"BRAZIL",1992,407369,1857074,76580
"BRAZIL",1992,369586,7234840,99334
"ARGENTINA",1992,419803,5643827,103366
"CANADA",1992,224737,3516199,99703
"CANADA",1992,144067,2555438,66663
"BRAZIL",1992,330765,351967,107745
"ARGENTINA",1993,330048,3557499,64681
"BRAZIL",1993,348175,3718406,73389
"PERU",1993,534110,3192011,68645
"ARGENTINA",1993,181046,1673654,67622
"ARGENTINA",1992,286605,5872967,95495
"CANADA",1992,456622,4641084,94716
"CANADA",1993,14616,3379586,91836
"CANADA",1992,313811,4425140,109488
"BRAZIL",1993,232039,4020022,58261
"ARGENTINA",1993,554806,3100059,111646
"PERU",1993,466325,3579483,77478
"BRAZIL",1992,77791,849019,106127
"PERU",1992,296511,1044697,90450
"ARGENTINA",1992,457806,6501293,105826
"BRAZIL",1993,132317,5521376,80958
"PERU",1992,410189,4176808,65949
"BRAZIL",1992,188063,4592729,69063
"UNITED STATES",1992,321054,4644172,64502
"PERU",1993,294117,1942202,66666
"ARGENTINA",1993,364964,7507115,121737
"PERU",1993,99227,2670707,73573
"ARGENTINA",1993,199408,4924675,90444
"CANADA",1992,72138,3730036,66607
"PERU",1992,51964,4362640,114957
"UNITED STATES",1993,7398,6332446,78323
"BRAZIL",1992,191919,4291281,120654
"BRAZIL",1992,251049,3255097,60001
"UNITED STATES",1993,287767,5222136,105285
"BRAZIL",1993,258466,2851748,85467
"PERU",1993,596551,1084074,98851
"CANADA",1992,409139,1848866,62886
"BRAZIL",1993,331216,4718157,74832
"CANADA",1993,458776,5030775,104085
"PERU",1993,366863,7358518,115791
"PERU",1993,320077,4838034,65823
"CANADA",1992,108685,3539791,101620
"BRAZIL",1992,215960,4267786,112557
"CANADA",1992,229106,2510093,62105
"UNITED STATES",1993,583878,3135036,117711
"ARGENTINA",1992,369123,357633,71526
"CANADA",1992,526871,1537258,113871
"BRAZIL",1992,284707,1258617,101501
"ARGENTINA",1992,68321,5453823,77359
"BRAZIL",1993,194345,5889779,86360
"ARGENTINA",1993,497985,6347454,118977
"ARGENTINA",1993,512331,2501243,80598
"CANADA",1992,150680,1315316,103840
"CANADA",1992,409951,7681919,111655
"BRAZIL",1993,231914,7461127,110754
"BRAZIL",1993,210521,6046698,85890
"ARGENTINA",1993,58459,4720108,85047
"PERU",1992,326406,5461703,85943
"CANADA",1993,491644,1884234,98137
"BRAZIL",1992,304722,4220079,103602
"UNITED STATES",1992,451437,4648396,83304
"ARGENTINA",1992,295148,896213,68587
"BRAZIL",1993,218385,5036221,78202
"PERU",1993,296422,817004,85104
"CANADA",1992,424952,2762840,112615
"UNITED STATES",1993,577348,142532,85519
"CANADA",1993,398488,571129,95188
"CANADA",1992,312396,6287008,84502
"ARGENTINA",1993,428095,409228,61384
"CANADA",1993,389602,2131403,101495
"UNITED STATES",1993,228549,3803162,88651
"ARGENTINA",1993,196466,1499961,93747
"BRAZIL",1993,288872,3252783,111651
"UNITED STATES",1992,180996,3867355,124619
"ARGENTINA",1993,567502,2285162,94168
"BRAZIL",1993,384721,5055988,108342
"BRAZIL",1993,234345,5471694,76759
"PERU",1993,444953,863558,113875
"CANADA",1993,336389,3181425,85522
"ARGENTINA",1993,454282,2492300,74175
"PERU",1992,128487,300065,90928
"CANADA",1992,346865,3441330,114711
"BRAZIL",1992,156750,6179085,108405
"UNITED STATES",1992,390716,3566425,108402
"CANADA",1992,354696,6253428,105040
"CANADA",1992,43557,282103,90033
"CANADA",1992,588542,6150321,97831
"UNITED STATES",1992,516387,4518819,84201
"UNITED STATES",1993,440143,2787950,64987
"CANADA",1993,457136,1130275,65586
"CANADA",1992,131214,2898848,74712
"ARGENTINA",1992,481333,4416081,78858
"BRAZIL",1992,549121,4586792,70206
"ARGENTINA",1992,189569,2388326,99513
"PERU",1993,100060,2920465,63603
"CANADA",1993,498007,180896,60298
"UNITED STATES",1993,61106,845143,64026
"PERU",1993,92600,5351136,95556
"UNITED STATES",1992,329753,4542421,106964
"ARGENTINA",1992,556772,4037880,109725
"UNITED STATES",1993,257049,3021108,60361
"ARGENTINA",1993,186227,249511,78793
"UNITED STATES",1992,288147,4481493,68107
"CANADA",1992,113810,8221735,109428
"BRAZIL",1993,143908,7046359,117114
"CANADA",1992,473899,6113047,112372
"UNITED STATES",1992,47791,2385619,104327
"UNITED STATES",1993,156328,2104166,83059
"BRAZIL",1993,591797,1110596,113326
"CANADA",1993,129271,1401691,78016
"UNITED STATES",1993,526258,122001,77053
"UNITED STATES",1992,180587,4127260,100054
"BRAZIL",1992,410883,1793860,107631
"BRAZIL",1992,300223,3938736,73392
"ARGENTINA",1992,440619,4940781,93575
"PERU",1993,278931,7076253,114595
"ARGENTINA",1993,307389,1094754,83782
"UNITED STATES",1992,46048,3437390,59642
"PERU",1993,53772,4172911,103546
"CANADA",1993,567946,3061158,120835
"PERU",1993,132181,4476634,72790
"BRAZIL",1993,355189,3818357,74650
"UNITED STATES",1992,204077,2189725,58863
"PERU",1992,499134,5098995,67986
"BRAZIL",1992,483307,2090253,77416
"ARGENTINA",1993,373926,5199766,119994
"CANADA",1993,158149,2609836,72428
"UNITED STATES",1993,483559,2807404,92551
"PERU",1993,487371,5305715,81501
"BRAZIL",1992,493930,1061998,115434
"CANADA",1992,182057,2902299,68343
"UNITED STATES",1992,416000,2917396,54958
"CANADA",1993,386038,667667,67441
"UNITED STATES",1993,369181,1875255,75010
"PERU",1993,59100,1746455,63546
"CANADA",1993,188989,3671790,124678
"ARGENTINA",1993,432047,3876919,58741
"PERU",1992,278818,2668248,107808
"CANADA",1993,304192,3148345,71770
"BRAZIL",1993,596759,2598022,111343
"UNITED STATES",1993,127653,7109149,100839
"BRAZIL",1993,42191,5112953,67991
"BRAZIL",1993,502457,3940461,87565
"CANADA",1993,163265,4120262,79695
"UNITED STATES",1993,327540,6268552,94051
"PERU",1993,241333,5749731,76459
"PERU",1993,239148,593572,65227
"UNITED STATES",1993,558962,2111882,121256
"PERU",1992,516471,2332321,89247
"CANADA",1993,459792,3641929,105106
"UNITED STATES",1992,493572,6769438,93933
"PERU",1993,88999,9643739,119279
"ARGENTINA",1993,442490,922510,85948
"BRAZIL",1992,56385,3784032,80482
"BRAZIL",1992,247435,3815479,82945
"UNITED STATES",1992,37738,4253002,100543
"CANADA",1992,463748,5545972,102703
"CANADA",1992,471704,6183259,100540
"ARGENTINA",1992,356735,7582559,107503
"CANADA",1993,1217,210223,67092
"ARGENTINA",1992,269991,5588793,117658
"BRAZIL",1993,527036,1779478,63780
"BRAZIL",1993,51918,1615602,112194
"ARGENTINA",1992,323416,6488815,86364
"BRAZIL",1992,196089,5233313,71104
"CANADA",1993,578665,2092368,104618
"BRAZIL",1993,369967,6772858,122217
"BRAZIL",1993,584956,5326827,122455
"PERU",1992,25385,2696762,78622
"UNITED STATES",1993,501506,2357698,90448
"ARGENTINA",1993,307043,1833352,63001
"ARGENTINA",1992,446022,2178000,58080
"CANADA",1993,198055,3753177,69183
"PERU",1993,508816,5707943,109487
"ARGENTINA",1992,366111,4488282,70626
"BRAZIL",1992,218204,626182,67331
"BRAZIL",1992,244402,5627910,80783
"PERU",1993,317259,5213440,76574
"BRAZIL",1993,90569,2807208,93573
"ARGENTINA",1993,588744,5837213,109963
"BRAZIL",1992,583093,1190182,70564
"UNITED STATES",1992,214100,3577709,60845
"UNITED STATES",1992,174690,4383489,105881
"PERU",1993,531694,5239134,103540
"ARGENTINA",1992,370496,4419040,93988
"BRAZIL",1992,241911,7003962,111174
"ARGENTINA",1993,544714,6155415,105521
"ARGENTINA",1993,421115,4000343,62165
"CANADA",1993,325427,5577254,87144
"PERU",1993,451071,5059147,61323
"ARGENTINA",1992,412960,2528469,112376
"BRAZIL",1992,2035,937967,56221
"BRAZIL",1992,137518,5151849,93330
"PERU",1992,559625,2122596,101076
"PERU",1993,80608,5239202,95316
"BRAZIL",1993,564754,5187017,109123
"PERU",1992,26913,1766313,110394
"BRAZIL",1993,440523,4491481,87810
"UNITED STATES",1993,466549,1394278,90931
"ARGENTINA",1993,456154,109902,66607
"ARGENTINA",1993,476489,6190103,87927
"ARGENTINA",1993,143617,2278356,99636
"PERU",1992,308059,4515713,64022
"BRAZIL",1992,231890,856283,109312
"BRAZIL",1993,248286,5183934,74056
"ARGENTINA",1993,538849,8057215,113269
"BRAZIL",1993,23081,2384690,60244
"UNITED STATES",1993,66201,4768012,70032
"UNITED STATES",1993,285695,3361360,100840
"CANADA",1992,225824,1751559,104988
"ARGENTINA",1992,417054,2555750,58261
"UNITED STATES",1992,216524,6482295,86430
"CANADA",1993,237146,4139722,64987
"BRAZIL",1993,157779,6245018,110206
"CANADA",1993,390267,1492975,81435
"ARGENTINA",1992,447273,2108592,73215
"BRAZIL",1992,486541,1160915,91651
"ARGENTINA",1992,165702,6082655,106062
"PERU",1992,579424,902040,90204
"UNITED STATES",1992,98205,2887680,72192
"CANADA",1992,350604,4540194,99275
"CANADA",1993,217510,5769955,85650
"ARGENTINA",1993,484239,119874,73392
"CANADA",1993,188163,3956167,75069
"ARGENTINA",1993,232192,4092015,67450
"CANADA",1992,308863,1100647,112311
"BRAZIL",1992,119046,3235591,63902
"BRAZIL",1993,470653,1461267,97417
"UNITED STATES",1992,295818,1088280,108828
"ARGENTINA",1992,390767,7509025,111465
"CANADA",1993,139177,119184,72970
"ARGENTINA",1993,338562,720247,96033
"ARGENTINA",1992,118321,4028674,80359
"UNITED STATES",1992,418976,1114230,113697
"UNITED STATES",1992,125476,2184638,90088
"BRAZIL",1992,467216,861362,70991
"BRAZIL",1993,243380,4645028,79402
"CANADA",1992,274164,1126768,68289
"PERU",1992,329380,5073732,84562
"PERU",1992,21135,5069424,63367
"CANADA",1992,526896,5537865,115372
"BRAZIL",1992,208120,3978785,61686
"UNITED STATES",1992,96420,1997152,84985
"UNITED STATES",1992,132413,4440299,86724
"BRAZIL",1992,453619,1773881,94355
"PERU",1992,232725,6630840,99462
"ARGENTINA",1992,594981,377824,124557
"BRAZIL",1993,464690,1284023,99280
"PERU",1993,281478,6567570,87567
"PERU",1992,120779,8289740,107986
"ARGENTINA",1992,544014,2336041,63479
"PERU",1993,109825,1078874,110089
"BRAZIL",1993,545187,4420990,73929
"PERU",1992,392255,4833897,80834
"CANADA",1992,81583,2252995,93874
"BRAZIL",1992,141633,4983698,100477
"CANADA",1992,67808,6176232,106548
"PERU",1992,207436,5792827,80605
"CANADA",1992,29239,114486,70093
"BRAZIL",1992,136316,2298927,81138
"ARGENTINA",1993,164250,5860240,78855
"BRAZIL",1993,546579,788391,97533
"CANADA",1992,471192,3663985,69790
"PERU",1992,213259,4796806,70334
"ARGENTINA",1993,517438,6287371,87324
"PERU",1993,169075,1383180,68644
"ARGENTINA",1993,488315,5213160,78197
"PERU",1993,306666,5409350,100359
"BRAZIL",1993,583861,8664262,116690
"UNITED STATES",1993,318359,4579655,82640
"CANADA",1993,453125,2007422,64686
"UNITED STATES",1993,64082,188294,62764
"UNITED STATES",1992,356168,3084858,73449
"PERU",1992,202954,8913312,111416
"UNITED STATES",1992,320921,180597,116514
"PERU",1992,195544,2619984,98372
"UNITED STATES",1992,494180,587080,70449
"CANADA",1993,390750,1071310,110444
"PERU",1992,500868,504586,112130
"PERU",1992,24007,3049956,55860
"ARGENTINA",1992,175248,3322655,79394
"UNITED STATES",1993,220336,809070,75379
"PERU",1993,384614,7422882,101916
"UNITED STATES",1993,488655,5655730,98617
"BRAZIL",1993,523055,731982,64681
"PERU",1993,322724,1882953,104802
"CANADA",1993,583502,288557,95128
"UNITED STATES",1992,100107,1051745,66426
"UNITED STATES",1992,93118,2263331,66666
"PERU",1992,129820,1757329,110989
"PERU",1992,283025,2128917,60480
"PERU",1993,44535,562221,88771
"BRAZIL",1993,478367,856981,80720
"UNITED STATES",1993,502534,729842,92190
"BRAZIL",1993,472676,5381193,98919
"UNITED STATES",1992,32371,1592718,78202
"UNITED STATES",1992,122547,7769223,94172
"CANADA",1993,370380,994953,87022
"ARGENTINA",1993,553316,670952,82157
"UNITED STATES",1993,335825,4331965,111648
"CANADA",1993,254101,2976408,63305
"UNITED STATES",1993,472612,6705984,95075
"PERU",1993,378964,1201254,122577
"CANADA",1993,547172,1206958,73149
"CANADA",1992,232465,254335,83847
"ARGENTINA",1993,25183,877678,66490
"ARGENTINA",1993,68104,2317880,64326
"PERU",1992,12100,2886509,60726
"BRAZIL",1992,552431,3230866,89004
"ARGENTINA",1993,550966,1996770,121016
"PERU",1993,597361,5320024,87500
"UNITED STATES",1993,44768,1246889,102765
"ARGENTINA",1992,553941,383024,119695
"UNITED STATES",1992,49465,4786532,84867
"PERU",1992,567036,2402355,66180
"BRAZIL",1993,271000,769024,58259
"CANADA",1993,83324,2070794,78439
"UNITED STATES",1992,271466,6339154,86247
"CANADA",1993,426505,6298512,85888
"PERU",1993,452475,3939762,85647
"UNITED STATES",1992,108268,3430586,76575
"ARGENTINA",1992,19377,5133625,77782
"UNITED STATES",1993,489830,5568618,109188
"ARGENTINA",1993,38924,5428548,111775
"ARGENTINA",1993,366582,4228582,98914
"PERU",1993,474073,3591381,62823
"UNITED STATES",1993,349988,6391073,122278
"PERU",1993,579113,976321,71525
"PERU",1993,441742,5051160,101023
"ARGENTINA",1992,388986,8972170,124498
"UNITED STATES",1992,79747,3408584,103604
"PERU",1992,480721,1179278,102102
"UNITED STATES",1992,6668,5401083,94479
"BRAZIL",1992,423395,4220102,79102
"UNITED STATES",1993,336579,2609129,96933
"ARGENTINA",1993,315425,2592738,86424
"CANADA",1993,11320,4102758,73879
"PERU",1993,30599,2643131,91775
"PERU",1993,271303,4671547,76457
"CANADA",1993,429556,1954957,89131
"PERU",1993,160928,373916,119335
"UNITED STATES",1993,501352,132626,81199
"CANADA",1992,400489,5427230,83367
"BRAZIL",1992,505173,3416635,70689
"CANADA",1992,217381,1246435,77902
"BRAZIL",1993,559817,8460569,112607
"ARGENTINA",1993,244193,4382691,68230
"ARGENTINA",1993,136864,4181892,114051
"PERU",1993,2989,6686257,113518
"CANADA",1992,50543,3766707,89612
"ARGENTINA",1992,558187,2806590,74709
"PERU",1992,226280,554884,72376
"CANADA",1992,286448,1265167,86065
"UNITED STATES",1992,352012,3096240,63840
"UNITED STATES",1992,128811,6439335,110388
"CANADA",1993,301737,2660241,104323
"PERU",1992,586146,3127120,73927
"ARGENTINA",1993,96593,5881483,95375
"BRAZIL",1992,197808,2744352,114348
"ARGENTINA",1992,557691,167872,104920
"ARGENTINA",1993,93104,105321,65826
"UNITED STATES",1993,247103,2221990,63005
"CANADA",1993,550368,953124,85100
"CANADA",1993,433358,3137931,77479
"ARGENTINA",1993,35396,4630574,79883
"UNITED STATES",1992,357428,2433101,89124
"PERU",1993,585757,3648605,110563
"PERU",1992,12589,2162275,90094
"PERU",1992,150317,389683,82038
"CANADA",1992,174587,5778975,99694
"PERU",1992,332995,3650364,121678
"PERU",1992,434215,4654219,68951
"CANADA",1992,401687,2830992,95319
"PERU",1992,11735,6684077,98803
"BRAZIL",1993,571490,2398417,93688
"CANADA",1993,133441,796197,88466
"PERU",1993,332601,2613744,98015
"UNITED STATES",1993,244972,4658212,115017
"UNITED STATES",1992,374534,1751678,96511
"ARGENTINA",1993,81029,890837,60601
"BRAZIL",1993,450420,2791504,82224
"ARGENTINA",1993,594178,2344572,76329
"PERU",1993,133254,5066616,77235
"ARGENTINA",1993,41514,5763819,87330
"UNITED STATES",1992,295143,104707,68287
"PERU",1993,35512,1389609,86850
"ARGENTINA",1993,55368,3652473,79401
"ARGENTINA",1993,183473,286390,93388
"PERU",1993,230768,5045287,101925
"BRAZIL",1993,110077,319598,65224
"CANADA",1993,91603,7194835,95676
"ARGENTINA",1993,556949,1945742,120355
"PERU",1992,461277,4346257,74295
"CANADA",1993,146818,2278797,111888
"PERU",1993,108982,8234693,119458
"BRAZIL",1993,532984,391290,121017
"PERU",1992,8548,5169260,87392
"PERU",1992,74039,4666016,60781
"PERU",1992,142826,7482755,112129
"UNITED STATES",1992,302334,3934126,80179
"CANADA",1993,295885,2031339,112852
"CANADA",1993,220396,2448466,78982
"BRAZIL",1993,355880,180035,116152
"ARGENTINA",1992,356401,1340798,87443
"PERU",1992,508320,773070,79698
"UNITED STATES",1992,459100,3431419,63544
"CANADA",1992,84488,5875195,88348
"UNITED STATES",1992,22600,5938140,91356
"BRAZIL",1993,94843,2444327,110270
"UNITED STATES",1992,253342,1410614,77719
"CANADA",1992,302720,7369753,103362
"ARGENTINA",1993,214732,1817978,98803
"BRAZIL",1992,238665,1897117,96219
"UNITED STATES",1992,542435,1543893,88644
"BRAZIL",1993,18351,3644303,76161
"ARGENTINA",1992,516270,5402250,77175
"BRAZIL",1992,336620,5728557,99396
"UNITED STATES",1992,160931,4183053,119515
"BRAZIL",1993,87311,354438,77898
"UNITED STATES",1993,356596,5651823,99154
"UNITED STATES",1993,527387,4165290,84861
"PERU",1993,102628,5004372,97837
"PERU",1993,311184,3630926,71710
"ARGENTINA",1993,49478,1460301,85648
"ARGENTINA",1993,560087,4467798,68823
"CANADA",1993,544239,2243051,76992
"UNITED STATES",1993,75470,274639,86728
"CANADA",1993,61182,1975415,68590
"UNITED STATES",1992,237410,2786423,80844
"PERU",1992,136489,7474852,91528
"BRAZIL",1993,445292,4027313,74236
"UNITED STATES",1993,573279,4803192,81135
"ARGENTINA",1992,455635,6871435,95436
"CANADA",1993,444634,1250259,94716
"ARGENTINA",1993,434986,4994496,115257
"PERU",1993,406434,3498470,80424
"CANADA",1992,129710,6214244,104382
"PERU",1992,214473,1304212,83247
"CANADA",1993,341371,1670821,84741
"UNITED STATES",1993,281669,7130808,99039
"ARGENTINA",1992,262069,1782685,61863
"UNITED STATES",1992,28062,3841432,59403
"PERU",1993,166097,3314806,69785
"PERU",1992,576912,3981757,119333
"UNITED STATES",1993,457796,859347,105226
"BRAZIL",1992,251458,1740658,84566
"UNITED STATES",1992,451582,5163496,92013
"CANADA",1993,32527,2685516,87571
"PERU",1993,107219,5768091,73572
"PERU",1993,218066,3935215,59043
"ARGENTINA",1993,30326,5547909,75379
"ARGENTINA",1993,272301,725775,76397
"UNITED STATES",1993,298698,1679713,101800
"CANADA",1992,53299,3506412,75137
"ARGENTINA",1993,235728,815217,99822
"BRAZIL",1993,585878,190493,117831
"UNITED STATES",1993,251301,1177152,75137
"BRAZIL",1992,444398,5656747,80542
"ARGENTINA",1992,109021,2249563,61801
"CANADA",1992,299070,1885821,64143
"UNITED STATES",1993,417331,3954646,74898
"UNITED STATES",1993,579624,5887641,102216
"UNITED STATES",1992,375331,1253031,84379
"ARGENTINA",1992,119211,2652332,73812
"BRAZIL",1993,389222,1206313,78672
"PERU",1993,449256,2193518,72313
"PERU",1993,518682,1010192,102039
"UNITED STATES",1992,582049,221679,67861
"BRAZIL",1993,278515,5018160,89610
"BRAZIL",1993,464007,1427340,58258
"UNITED STATES",1993,433467,665209,84026
"CANADA",1992,146588,912095,98074
"CANADA",1992,158255,2059176,78795
"PERU",1992,584964,5071126,122936
"PERU",1992,295211,2219408,72372
"PERU",1993,392743,4405752,110143
"PERU",1992,56954,3340340,114657
"PERU",1993,416083,3125059,59943
"PERU",1993,97501,6341652,89910
"PERU",1993,98642,2985964,98438
"CANADA",1993,566211,1781680,76631
"CANADA",1992,31570,819857,90094
"BRAZIL",1993,221537,5250672,87511
"CANADA",1992,216915,4620051,109914
"UNITED STATES",1993,160691,8239949,105101
"ARGENTINA",1993,124417,3410376,86484
"CANADA",1992,353241,3138507,77653
"ARGENTINA",1992,199331,5864353,85819
"UNITED STATES",1993,221530,2090188,87091
"PERU",1993,552287,1205334,80355
"UNITED STATES",1992,197994,3807421,125519
"UNITED STATES",1992,226303,365099,73757
"UNITED STATES",1992,531679,338708,102639
"PERU",1993,48210,106555,69492
"CANADA",1993,249664,6235143,96819
"ARGENTINA",1993,408359,2046737,76039
"UNITED STATES",1993,401699,7447917,96040
"PERU",1992,426239,5199167,69912
"PERU",1992,156838,8356200,113689
"UNITED STATES",1992,427736,5971055,99822
"ARGENTINA",1992,351381,2215876,85942
"PERU",1992,27060,2309720,59223
"PERU",1993,387275,4904136,81735
"PERU",1993,275650,3277290,97538
"BRAZIL",1992,271821,1075686,107568
"BRAZIL",1992,581396,1447822,88642
"UNITED STATES",1992,491132,1235421,67386
"PERU",1992,129747,843951,106604
"UNITED STATES",1993,455612,2351385,94055
"BRAZIL",1992,188234,1650143,79333
"BRAZIL",1992,234401,5528514,80123
"CANADA",1992,172967,1670727,122397
"UNITED STATES",1992,471737,3019290,102522
"ARGENTINA",1992,127886,3309098,114832
"ARGENTINA",1992,553569,3796743,97352
"PERU",1993,288230,5555083,73093
"ARGENTINA",1993,162420,4536205,88945
"BRAZIL",1992,177658,6014027,104139
"UNITED STATES",1992,288917,7798942,114354
"PERU",1993,270815,812539,107148
"CANADA",1993,327054,3317711,64862
"PERU",1992,573530,628575,96210
"UNITED STATES",1992,116548,6458421,93872
"CANADA",1993,412951,1371852,111835
"ARGENTINA",1993,334363,4288467,83841
"PERU",1992,284560,1705183,92673
"CANADA",1992,370376,6254060,86781
"UNITED STATES",1993,172209,1582282,76872
"PERU",1992,454739,4064904,101622
"ARGENTINA",1992,139236,592981,76513
"PERU",1992,145070,1377111,66904
"ARGENTINA",1992,113336,3560881,80959
"BRAZIL",1992,424693,2827687,97060
"UNITED STATES",1992,460304,1763670,75856
"CANADA",1993,544175,776598,73149
"UNITED STATES",1993,494643,3278515,98257
"UNITED STATES",1993,192150,4136359,74529
"ARGENTINA",1993,30933,1371852,111835
"UNITED STATES",1992,197215,1968315,78732
"ARGENTINA",1992,53117,2311437,64206
"PERU",1992,220906,180862,109613
"PERU",1992,357664,774742,103299
"ARGENTINA",1992,444519,962976,87809
"CANADA",1993,499949,6480159,116935
"PERU",1992,124388,2711769,84742
"ARGENTINA",1992,181668,2897436,104979
"UNITED STATES",1992,490331,5945895,79278
"UNITED STATES",1992,483754,2502331,104263
"BRAZIL",1992,180166,4172143,74769
"PERU",1992,437100,1931042,62224
"UNITED STATES",1992,276432,4664687,84505
"PERU",1992,575623,7827148,101916
"UNITED STATES",1992,90265,5485486,75315
"BRAZIL",1993,181657,5622794,104319
"PERU",1992,287164,428227,69069
"PERU",1993,117938,3984229,117355
"UNITED STATES",1992,503502,7075756,90328
"BRAZIL",1992,360567,4540864,97653
"CANADA",1993,574899,5526836,118432
"UNITED STATES",1993,442214,4624760,69371
"ARGENTINA",1993,504057,203717,63661
"CANADA",1992,550707,1894779,105460
"CANADA",1992,234776,1750107,102645
"PERU",1993,148547,2819319,95732
"CANADA",1993,499946,6810720,116755
"PERU",1992,471204,223284,70510
"CANADA",1992,390784,8099006,112486
"PERU",1993,298129,3170560,67626
"CANADA",1993,257096,947772,63184
"PERU",1992,329783,8179218,108766
"UNITED STATES",1992,477504,4888884,88888
"CANADA",1992,560639,7903186,101976
"CANADA",1992,253247,460888,72013
"PERU",1992,395898,2083604,119632
"BRAZIL",1992,447535,1254203,88950
"ARGENTINA",1993,434136,1082951,64206
"PERU",1993,540272,3582442,78735
"UNITED STATES",1993,598008,4160696,66358
"CANADA",1993,486686,6001504,100359
"UNITED STATES",1993,79308,4920060,77238
"CANADA",1993,435463,4153366,83906
"ARGENTINA",1992,230522,1603571,87150
"ARGENTINA",1992,173762,4438867,110145
"BRAZIL",1992,355540,4847220,95731
"PERU",1992,84102,1146921,65166
"BRAZIL",1992,495835,1243119,109848
"PERU",1992,192524,6989832,96991
"PERU",1993,233313,5109830,74778
"ARGENTINA",1993,579955,2036964,122095
"BRAZIL",1992,298545,3834128,92611
"CANADA",1992,435524,2942352,87570
"UNITED STATES",1992,537374,5704676,84681
"ARGENTINA",1992,432881,2192956,108831
"BRAZIL",1993,430706,476273,98200
"CANADA",1993,92365,3246805,81441
"UNITED STATES",1993,13771,3133672,101086
"CANADA",1993,593029,3234726,67320
"UNITED STATES",1993,216336,4737526,75139
"PERU",1992,7046,438398,57182
"PERU",1992,12655,6690730,94059
"BRAZIL",1993,129850,5987322,112791
"PERU",1993,121440,3685751,87686
"CANADA",1992,374716,3647655,107442
"UNITED STATES",1992,77742,4837628,103184
"UNITED STATES",1993,515685,8333234,102039
"BRAZIL",1992,440266,5015545,72374
"UNITED STATES",1992,92229,1444703,73273
"CANADA",1992,223764,675100,101265
"ARGENTINA",1993,454097,3399160,63064
"PERU",1993,598097,439785,71704
"UNITED STATES",1992,460106,97013,63964
"BRAZIL",1992,187041,106035,67682
"UNITED STATES",1993,575084,4997866,69543
"BRAZIL",1992,189772,3351186,111706
"PERU",1992,296051,4035292,62822
"PERU",1992,329290,1959130,79156
"PERU",1992,568851,3724470,115189
"PERU",1992,193967,4876231,123657
"BRAZIL",1992,535254,5672612,77353
