"s_nation","lo_custkey","lo_orderdate","lo_revenue"
"CHINA",679,19960117,4642974
"CHINA",679,19960117,8372728
"CHINA",26437,19920903,3350546
"VIETNAM",16810,19950117,4287166
"CHINA",16810,19950117,3229435
"INDIA",9383,19940823,4389104
"VIETNAM",9383,19940823,6869870
"JAPAN",11380,19960427,3312298
"CHINA",21896,19960411,1834769
"VIETNAM",21896,19960411,5550086
"INDIA",22441,19930911,4469184
"CHINA",20122,19920325,2296920
"VIETNAM",15512,19960110,6890545
"VIETNAM",5155,19920922,2552669
"JAPAN",28385,19940330,1526817
"INDIA",28385,19940330,7493837
"CHINA",26971,19940113,1634134
"VIETNAM",21517,19951219,3455745
"VIETNAM",8266,19960318,4654579
"VIETNAM",14128,19920211,6960976
"VIETNAM",14128,19920211,2193864
"JAPAN",23369,19961111,1642063
"INDIA",23369,19961111,1633761
"INDONESIA",21799,19931211,5010694
"INDIA",23032,19960824,4128210
"CHINA",23032,19960824,3332076
"INDIA",1606,19950810,6599569
"CHINA",20599,19950216,8005203
"JAPAN",20599,19950216,3643678
"VIETNAM",18266,19960921,6119309
"INDIA",26416,19940506,5329137
"JAPAN",25529,19921028,4331461
"JAPAN",25208,19950514,2596017
"VIETNAM",2608,19920210,681048
"CHINA",26665,19980120,1253831
"INDIA",8933,19950517,5086406
"CHINA",8258,19960505,5555324
"JAPAN",8258,19960505,5811276
"INDONESIA",8258,19960505,680757
"INDONESIA",110,19940201,3346375
"CHINA",110,19940201,1492419
"INDONESIA",18418,19940222,4055306
"INDIA",9352,19950623,5865048
"JAPAN",22463,19980703,7028089
"INDONESIA",7174,19970123,5867914
"JAPAN",7174,19970123,693910
"CHINA",2479,19930621,5652344
"INDONESIA",18691,19980214,3728241
"INDONESIA",23248,19980529,3388725
"CHINA",3664,19971113,3435252
"JAPAN",25064,19930813,2043378
"INDONESIA",18017,19931123,296359
"INDONESIA",18017,19931123,8207829
"CHINA",13270,19931125,95016
"CHINA",13270,19931125,3683128
"JAPAN",13499,19970223,4808643
"JAPAN",13499,19970223,6256780
"INDIA",10174,19970519,4479392
"JAPAN",23840,19930103,1070181
"INDIA",22082,19980407,3291490
"JAPAN",148,19920704,1394365
"VIETNAM",19883,19950824,2100008
"CHINA",19883,19950824,305718
"CHINA",19243,19930121,506032
"JAPAN",25844,19920302,5149320
"CHINA",11563,19980126,683581
"VIETNAM",5488,19920525,4569044
"CHINA",13282,19951125,1025855
"VIETNAM",1,19961226,1362011
"INDONESIA",13463,19930617,1167793
"JAPAN",13463,19930617,2996955
"CHINA",13463,19930617,6113388
"JAPAN",29465,19920304,2318906
"INDIA",29465,19920304,4927647
"JAPAN",18679,19930103,2124747
"VIETNAM",13886,19961210,5051114
"INDIA",13886,19961210,6280418
"VIETNAM",11915,19950707,3983253
"VIETNAM",11915,19950707,3109113
"INDONESIA",11915,19950707,2770985
"VIETNAM",11915,19950707,6062839
"INDONESIA",1990,19950531,183412
"INDONESIA",1990,19950531,1551888
"CHINA",24541,19920701,6377329
"VIETNAM",14599,19960903,5285989
"VIETNAM",25759,19961109,2857288
"CHINA",23296,19930816,4667267
"INDONESIA",7834,19931023,6317984
"CHINA",16003,19950728,3472198
"INDONESIA",14611,19930325,4202535
"VIETNAM",13120,19980422,371194
"INDIA",13120,19980422,1802978
"INDIA",20131,19940119,7640842
"VIETNAM",15460,19970209,5425573
"INDONESIA",22547,19980705,5820770
"JAPAN",22547,19980705,7281750
"CHINA",4954,19930601,5394949
"INDONESIA",8020,19920605,2182438
"INDONESIA",14185,19970909,2375743
"CHINA",14185,19970909,2383126
"CHINA",28975,19931116,791978
"INDONESIA",28975,19931116,5616785
"INDIA",9241,19930810,6971963
"JAPAN",9241,19930810,826198
"INDONESIA",14059,19960123,3320784
"JAPAN",14573,19930906,2644038
"INDONESIA",4906,19940727,4926403
"VIETNAM",4906,19940727,615428
"JAPAN",4906,19940727,4351305
"CHINA",1195,19950201,3397526
"INDONESIA",13579,19941013,2690640
"INDONESIA",13579,19941013,4080132
"CHINA",8182,19970806,4122370
"VIETNAM",10006,19940310,4226064
"CHINA",10006,19940310,6143079
"VIETNAM",5284,19921213,2655360
"JAPAN",13417,19930408,2933658
"JAPAN",27556,19920123,2941405
"INDIA",2831,19970628,621561
"INDONESIA",24877,19920508,203112
"INDONESIA",11753,19920316,1103520
"INDONESIA",11753,19920316,1088413
"INDIA",11753,19920316,2890036
"VIETNAM",10561,19950729,2410707
"INDONESIA",1282,19930217,4481408
"JAPAN",1282,19930217,6012514
"CHINA",16751,19920928,7442217
"INDONESIA",1177,19940405,1005205
"CHINA",3790,19931207,4774224
"VIETNAM",3790,19931207,3114555
"INDONESIA",27908,19931025,7682868
"INDIA",27908,19931025,3208230
"INDIA",29029,19941013,1152833
"CHINA",29029,19941013,3281058
"INDONESIA",19963,19930203,4803840
"VIETNAM",6544,19980216,566448
"INDIA",6544,19980216,1202283
"JAPAN",16817,19960114,3294815
"INDONESIA",28849,19980325,3323578
"INDIA",20575,19921218,3743709
"INDIA",27151,19960210,2092052
"INDIA",27493,19970408,2410997
"JAPAN",27493,19970408,9394181
"JAPAN",1951,19970913,893855
"INDONESIA",1951,19970913,114062
"JAPAN",1951,19970913,3152947
"INDONESIA",20843,19951004,1501543
"INDONESIA",17245,19970902,271320
"INDIA",17245,19970902,4959565
"CHINA",17228,19940327,131596
"INDONESIA",17228,19940327,7965489
"JAPAN",17228,19940327,4168730
"INDIA",20386,19950307,3170320
"JAPAN",1342,19950929,6624072
"INDONESIA",14255,19950326,2149375
"INDIA",14434,19940508,2406541
"INDONESIA",14434,19940508,2971135
"JAPAN",14434,19940508,2148954
"JAPAN",14434,19940508,4628349
"INDIA",25270,19970223,8359920
"INDONESIA",25270,19970223,7582968
"VIETNAM",16117,19920402,2574554
"JAPAN",16117,19920402,2636689
"JAPAN",6094,19940706,955267
"INDONESIA",10639,19921124,7296634
"VIETNAM",15598,19920515,359980
"VIETNAM",25672,19971214,3228667
"INDIA",6451,19961222,2089312
"CHINA",6451,19961222,577575
"INDONESIA",16009,19921208,4765982
"INDONESIA",9763,19940105,2446202
"JAPAN",9238,19940806,5028048
"CHINA",3388,19940326,398718
"JAPAN",1819,19960522,4310023
"JAPAN",29644,19970919,1292212
"JAPAN",178,19960405,5863896
"VIETNAM",27781,19931018,445923
"INDONESIA",22975,19931215,388416
"CHINA",862,19920327,2705957
"INDONESIA",862,19920327,6297612
"INDONESIA",862,19920327,1087401
"CHINA",862,19920327,2898985
"INDONESIA",862,19920327,3748323
"INDONESIA",22933,19921020,3095394
"CHINA",11509,19931121,2750769
"JAPAN",10436,19920621,4050002
"INDIA",19549,19960928,303433
"INDONESIA",1723,19930511,2343644
"JAPAN",8278,19970502,759529
"CHINA",15608,19960528,866031
"INDIA",17870,19970830,5801302
"INDIA",3553,19971009,4166445
"JAPAN",9364,19940816,4533547
"CHINA",9364,19940816,93218
"CHINA",14357,19930113,5073705
"INDIA",24557,19920822,579671
"INDONESIA",12169,19951224,5857401
"JAPAN",8852,19940818,5327987
"JAPAN",18905,19920227,1832237
"INDIA",23891,19941127,1943064
"VIETNAM",15088,19960506,294842
"CHINA",15088,19960506,9788929
"VIETNAM",3197,19960119,895341
"INDIA",22934,19920204,2264219
"INDONESIA",22934,19920204,7315689
"INDONESIA",28435,19951209,3085624
"INDIA",7603,19980311,2037957
"CHINA",7603,19980311,6582277
"CHINA",7603,19980311,4035398
"JAPAN",2467,19960414,2493568
"VIETNAM",1798,19980518,2714796
"INDONESIA",1486,19941110,427354
"INDIA",1486,19941110,7046016
"CHINA",3556,19950623,2060057
"VIETNAM",3556,19950623,4316689
"JAPAN",28705,19950107,4108077
"INDIA",28705,19950107,1912453
"CHINA",28705,19950107,683174
"INDIA",28705,19950107,2486826
"INDONESIA",29353,19970806,2233579
"INDONESIA",29353,19970806,1835136
"CHINA",13318,19950227,91774
"CHINA",22976,19950713,1235919
"CHINA",19598,19940221,7878067
"INDIA",19598,19940221,3754444
"INDIA",19598,19940221,1531475
"INDIA",16045,19920526,5076325
"CHINA",12454,19970827,3118062
"VIETNAM",12454,19970827,7637605
"INDIA",25625,19950105,4521443
"CHINA",3613,19961219,3019080
"VIETNAM",23044,19940528,1604455
"CHINA",29761,19951123,3971863
"CHINA",23275,19980411,6036262
"INDIA",15683,19980405,3718102
"CHINA",15683,19980405,1371747
"CHINA",22213,19980309,4516538
"VIETNAM",16666,19951004,2440647
"JAPAN",16666,19951004,4542969
"VIETNAM",16666,19951004,9229450
"JAPAN",10166,19960213,3168826
"CHINA",20224,19930411,4947071
"CHINA",20224,19930411,6326467
"CHINA",12679,19930503,5370255
"INDONESIA",28846,19920526,5068875
"INDIA",7471,19961215,2716688
"VIETNAM",7471,19961215,7739170
"INDIA",11392,19931008,5544379
"CHINA",11392,19931008,3956833
"INDIA",4214,19970903,4586507
"JAPAN",4214,19970903,4734576
"VIETNAM",17734,19940802,6398259
"INDIA",17734,19940802,5275943
"INDONESIA",17734,19940802,7436906
"INDIA",19459,19930828,1893134
"JAPAN",14899,19970826,2457799
"INDONESIA",16283,19920409,5837115
"INDONESIA",23537,19950106,2249478
"INDIA",27043,19970930,2697264
"JAPAN",18736,19960401,3938200
"INDIA",22933,19950106,2516875
"CHINA",22933,19950106,1705270
"INDONESIA",22933,19950106,3859775
"VIETNAM",22933,19950106,4391181
"INDIA",21035,19970219,8030036
"INDIA",21035,19970219,4570030
"JAPAN",634,19980124,4926915
"CHINA",14869,19920713,2933424
"VIETNAM",16018,19970604,4269479
"CHINA",16018,19970604,4771889
"VIETNAM",21437,19950308,3125080
"INDONESIA",26116,19980405,4466917
"INDIA",26116,19980405,91711
"INDIA",31,19930716,3856073
"INDIA",10924,19950506,2756899
"CHINA",710,19950801,1421332
"INDIA",710,19950801,5049396
"INDIA",710,19950801,1812498
"VIETNAM",710,19950801,5582655
"INDONESIA",17129,19970223,1636200
"INDONESIA",17129,19970223,6774797
"CHINA",17129,19970223,1681366
"VIETNAM",17129,19970223,6439968
"JAPAN",17129,19970223,4739786
"JAPAN",2330,19920225,5876236
"INDIA",28718,19940602,923045
"VIETNAM",19357,19930429,660766
"CHINA",24050,19960610,4814437
"INDONESIA",24050,19960610,6667449
"INDIA",26093,19920212,1891806
"JAPAN",26590,19951205,7345672
"INDIA",25874,19930801,2758756
"VIETNAM",25874,19930801,5793018
"VIETNAM",3539,19940809,9197253
"VIETNAM",11977,19951223,8834315
"JAPAN",11977,19951223,375331
"CHINA",20537,19960616,2140815
"VIETNAM",20563,19960609,3338230
"JAPAN",20563,19960609,671338
"INDONESIA",5155,19970121,442234
"VIETNAM",5155,19970121,3072284
"JAPAN",11474,19950626,3353150
"INDONESIA",11474,19950626,123601
"INDONESIA",11434,19940218,1595111
"INDIA",18836,19940618,2145781
"JAPAN",18836,19940618,6842612
"JAPAN",18836,19940618,6278817
"VIETNAM",4343,19970223,2376419
"CHINA",17680,19950914,3427592
"CHINA",19270,19921002,4061935
"INDIA",3986,19950409,5833427
"CHINA",3986,19950409,879345
"VIETNAM",23489,19930816,5044431
"INDIA",23489,19930816,124122
"JAPAN",28741,19980315,7023017
"INDONESIA",28741,19980315,2302792
"VIETNAM",29368,19980615,4644780
"INDIA",29368,19980615,706401
"INDONESIA",11737,19940111,3352233
"JAPAN",11737,19940111,6687709
"JAPAN",1052,19980619,3153772
"JAPAN",28970,19931119,6298378
"VIETNAM",21508,19950829,2090638
"VIETNAM",14374,19920522,4015301
"INDIA",14374,19920522,980018
"INDONESIA",17359,19960703,5855167
"JAPAN",17359,19960703,1826368
"INDIA",17359,19960703,3810563
"VIETNAM",29161,19970908,2914234
"CHINA",15391,19930419,1692696
"INDIA",15391,19930419,184202
"CHINA",18103,19920913,361741
"JAPAN",23729,19980617,2164710
"CHINA",10151,19960902,1081071
"INDIA",10151,19960902,5354469
"INDONESIA",3497,19960202,6714472
"VIETNAM",3497,19960202,7516740
"VIETNAM",23692,19921118,4729041
"INDIA",23692,19921118,9134352
"INDONESIA",23692,19921118,2943102
"VIETNAM",24980,19930114,1086910
"INDIA",10315,19970722,4286736
"INDIA",8377,19950423,523346
"INDONESIA",17471,19941205,5453373
"VIETNAM",17471,19941205,6762384
"INDONESIA",10447,19930925,2333431
"JAPAN",23816,19920229,6914053
"INDONESIA",23816,19920229,1329438
"INDIA",21503,19951202,3221731
"CHINA",29117,19930801,1576791
"JAPAN",4150,19920313,3326018
"INDIA",28420,19930428,7674014
"JAPAN",28420,19930428,1763690
"INDONESIA",12220,19940409,1572523
"INDONESIA",14447,19920209,1409359
"INDIA",14447,19920209,3449106
"JAPAN",9910,19970311,3430613
"VIETNAM",9910,19970311,3820258
"INDIA",15610,19970718,7115279
"CHINA",15610,19970718,5661432
"VIETNAM",23584,19970609,3789311
"INDONESIA",2689,19941220,9518620
"CHINA",2689,19941220,2826848
"INDIA",2689,19941220,5177652
"INDONESIA",6487,19970611,1001856
"CHINA",8798,19951024,5552043
"VIETNAM",8798,19951024,3042403
"VIETNAM",8798,19951024,3554173
"JAPAN",25459,19970226,444285
"CHINA",25459,19970226,4971554
"JAPAN",25459,19970226,270151
"JAPAN",16298,19950108,4547952
"INDONESIA",11162,19931117,2683793
"INDIA",29584,19920327,3176723
"INDONESIA",10759,19940921,1051276
"CHINA",10759,19940921,301646
"CHINA",10759,19940921,3264240
"CHINA",10759,19940921,6760296
"INDIA",13511,19941212,7285261
"INDONESIA",28577,19941101,3514647
"INDIA",13855,19940510,7731220
"VIETNAM",24766,19920626,8451159
"INDONESIA",24766,19920626,6867200
"VIETNAM",4256,19941011,3178624
"INDONESIA",4256,19941011,100306
"CHINA",2638,19950720,3117591
"INDIA",11891,19951207,5331083
"CHINA",11891,19951207,5484009
"INDONESIA",19936,19940704,1159861
"CHINA",19936,19940704,4808299
"CHINA",19936,19940704,3983727
"CHINA",100,19940416,4311534
"CHINA",26800,19940920,889648
"JAPAN",4034,19930829,3009402
"CHINA",4034,19930829,4054765
"INDONESIA",12961,19960601,6280714
"JAPAN",12961,19960601,4088131
"INDONESIA",14023,19950930,828278
"JAPAN",6776,19980428,9604405
"JAPAN",10904,19931029,6511665
"VIETNAM",25030,19951212,1634761
"VIETNAM",19040,19970405,3737658
"INDONESIA",19040,19970405,2543670
"VIETNAM",19040,19970405,3347022
"INDONESIA",25790,19920322,1214478
"VIETNAM",28151,19921109,3770325
"CHINA",6394,19920803,3768389
"VIETNAM",6394,19920803,499898
"JAPAN",6394,19920803,5410150
"JAPAN",11681,19971206,4253846
"VIETNAM",11681,19971206,6284449
"JAPAN",19099,19980627,2459329
"INDONESIA",24049,19960226,981003
"INDIA",24049,19960226,4413036
"JAPAN",24049,19960226,1488498
"JAPAN",15886,19930317,4405222
"INDONESIA",15886,19930317,6931652
"CHINA",6850,19970809,6056897
"VIETNAM",26587,19980105,2703823
"INDONESIA",27217,19931119,3605422
"JAPAN",13177,19970707,486900
"INDONESIA",13177,19970707,4292808
"CHINA",5833,19921201,6124661
"INDIA",5833,19921201,3947411
"JAPAN",17356,19940610,7003150
"CHINA",12383,19961023,3057065
"VIETNAM",10268,19920905,346903
"INDIA",18406,19970102,6626270
"JAPAN",28312,19920525,6606805
"INDIA",24277,19970417,3458569
"INDONESIA",10513,19920514,109218
"JAPAN",6671,19980625,5777164
"INDONESIA",6671,19980625,2533533
"INDONESIA",27781,19970318,1538763
"CHINA",5572,19920901,5671330
"INDONESIA",4693,19960430,8964347
"VIETNAM",28766,19980411,5247895
"JAPAN",28766,19980411,1174545
"JAPAN",19513,19980404,5803495
"INDIA",12730,19960902,1611533
"JAPAN",12730,19960902,1551117
"JAPAN",15601,19950822,133663
"JAPAN",15601,19950822,6533020
"INDIA",18772,19960913,1557578
"VIETNAM",13231,19970513,4048558
"JAPAN",10702,19950208,3111897
"VIETNAM",17396,19940725,3488217
"CHINA",17396,19940725,1842588
"INDONESIA",17396,19940725,1313788
"CHINA",11186,19940826,596585
"JAPAN",12373,19940806,2902281
"JAPAN",2359,19951104,4203222
"INDONESIA",24977,19931102,6302588
"CHINA",24977,19931102,2396129
"INDONESIA",22849,19930506,1680105
"INDONESIA",13789,19960827,1512256
"INDONESIA",27298,19960409,3457674
"INDIA",27298,19960409,5804503
"CHINA",27298,19960409,1927860
"VIETNAM",5881,19920320,6284588
"INDONESIA",940,19930818,5533158
"CHINA",15487,19930901,1284558
"JAPAN",4655,19920108,3030776
"VIETNAM",18227,19931203,7004966
"INDIA",4792,19951121,752182
"INDONESIA",27833,19920122,5069551
"VIETNAM",5083,19960505,8265307
"INDONESIA",5083,19960505,3890682
"JAPAN",3448,19970212,1588279
"CHINA",3448,19970212,1551326
"CHINA",18562,19930327,125443
"INDONESIA",18299,19970326,3267915
"VIETNAM",13700,19950904,3600234
"CHINA",13700,19950904,2531477
"INDONESIA",224,19950705,160055
"INDIA",21187,19941227,5559592
"CHINA",2903,19920716,4871762
"INDONESIA",29477,19970606,1031490
"INDONESIA",20219,19960402,4586266
"VIETNAM",20219,19960402,3303240
"JAPAN",24656,19950218,1715012
"INDIA",26887,19930115,5939599
"VIETNAM",26887,19930115,2811660
"VIETNAM",17186,19960616,4014239
"JAPAN",9757,19980131,8320618
"CHINA",9757,19980131,3546095
"JAPAN",20326,19940731,4947497
"JAPAN",8537,19920729,5714979
"VIETNAM",17266,19941114,7547550
"INDIA",22538,19970312,3658450
"JAPAN",22538,19970312,7625400
"INDONESIA",15125,19980430,516057
"JAPAN",15125,19980430,5615317
"JAPAN",6931,19980518,1567773
"JAPAN",6931,19980518,8589762
"INDIA",15157,19960108,6140709
"INDONESIA",4586,19931020,3813465
"CHINA",21028,19940918,1662560
"CHINA",21028,19940918,3927984
"INDIA",21028,19940918,4977286
"INDIA",20782,19930427,248170
"JAPAN",27883,19960411,7682028
"INDONESIA",6307,19920330,3956697
"INDIA",6307,19920330,6838983
"JAPAN",6307,19920330,1759541
"CHINA",9005,19970419,1237427
"INDONESIA",9005,19970419,496995
"INDONESIA",22171,19940327,1084468
"JAPAN",22171,19940327,1166997
"JAPAN",27409,19940801,632615
"JAPAN",11491,19950803,5436408
"JAPAN",17764,19940706,7459127
"JAPAN",21946,19930908,4644890
"CHINA",21946,19930908,218612
"INDONESIA",21946,19930908,2355120
"INDIA",12785,19941122,3213282
"CHINA",12785,19941122,6304561
"VIETNAM",12785,19941122,7293744
"VIETNAM",5084,19970219,1249038
"INDONESIA",21781,19920708,4524878
"CHINA",23615,19920406,7962743
"JAPAN",21124,19980424,1898140
"CHINA",13637,19931102,1210818
"CHINA",21659,19980105,6938869
"CHINA",28996,19980307,459848
"CHINA",28996,19980307,383455
"INDIA",24703,19940415,2963504
"JAPAN",13657,19961130,5085570
"INDIA",26812,19980605,1383898
"VIETNAM",13520,19930325,1088418
"JAPAN",13520,19930325,7971221
"VIETNAM",26549,19970614,789527
"INDONESIA",15667,19971201,5023638
"INDONESIA",15667,19971201,2350046
"INDONESIA",20260,19970201,8157538
"CHINA",28855,19940112,5132192
"VIETNAM",17447,19930213,4718925
"JAPAN",26593,19940328,5486712
"JAPAN",2962,19971016,3374318
"JAPAN",11312,19920723,6121946
"JAPAN",11312,19920723,160988
"INDONESIA",4978,19970625,2727624
"VIETNAM",1064,19921024,2279072
"VIETNAM",1064,19921024,2197261
"CHINA",1064,19921024,1750876
"CHINA",1064,19921024,959292
"INDONESIA",20284,19920303,2408391
"CHINA",14908,19920601,6705369
"INDONESIA",18983,19930527,777170
"VIETNAM",20650,19920513,6932190
"CHINA",13369,19980427,4283381
"VIETNAM",13369,19980427,2767940
"VIETNAM",7423,19920819,1195210
"CHINA",17926,19970128,614201
"INDIA",6784,19920106,1925905
"VIETNAM",6784,19920106,574250
"INDIA",16126,19970816,1148709
"CHINA",301,19940705,6862883
"VIETNAM",27674,19980104,2322973
"INDONESIA",16388,19980131,948287
"INDONESIA",24733,19940507,1045798
"VIETNAM",1654,19950128,5098408
"VIETNAM",25471,19951115,5546344
"VIETNAM",25471,19951115,8016742
"INDONESIA",18473,19920901,1600505
"INDONESIA",10300,19920324,5054518
"VIETNAM",4576,19980113,2571702
"CHINA",20536,19920315,7764823
"JAPAN",29122,19930325,1943603
"JAPAN",29122,19930325,661480
"CHINA",12538,19951006,8880840
"CHINA",26824,19930913,3808395
"INDIA",3982,19970509,5735669
"INDIA",4154,19971126,5384681
"INDONESIA",4154,19971126,1929663
"INDONESIA",4154,19971126,7269600
"INDIA",3859,19971010,3368027
"CHINA",14225,19960301,1610699
"INDIA",7906,19941007,140465
"JAPAN",7906,19941007,3970125
"JAPAN",7906,19941007,7369092
"INDONESIA",7906,19941007,4632656
"INDONESIA",29111,19970606,6252059
"INDONESIA",23977,19941125,7070662
"VIETNAM",12070,19940206,1766531
"JAPAN",10733,19930331,616604
"CHINA",9250,19970519,3764888
"INDONESIA",7130,19980609,4137799
"INDONESIA",8215,19971209,4594965
"CHINA",29651,19930305,158922
"VIETNAM",29651,19930305,2983553
"VIETNAM",23215,19941005,338904
"INDIA",3322,19980204,2358188
"JAPAN",3322,19980204,2560081
"INDIA",3322,19980204,775494
"JAPAN",21020,19930722,3720029
"INDIA",18856,19941108,2164686
"JAPAN",18856,19941108,1143404
"VIETNAM",8656,19961110,4503931
"JAPAN",19846,19980315,1539198
"CHINA",20974,19951123,2715228
"INDIA",724,19931018,3443905
"VIETNAM",724,19931018,4777449
"JAPAN",5470,19930306,540657
"CHINA",19583,19930920,401872
"JAPAN",17849,19940723,1691031
"INDIA",17849,19940723,7511702
"CHINA",10861,19940130,185092
"VIETNAM",10861,19940130,501774
"CHINA",10861,19940130,6587661
"JAPAN",10861,19940130,1845492
"JAPAN",11477,19950427,3563078
"VIETNAM",11477,19950427,5565742
"JAPAN",11477,19950427,539736
"CHINA",10663,19980401,7184448
"VIETNAM",10663,19980401,1624516
"INDONESIA",10663,19980401,102685
"CHINA",676,19970918,1597394
"CHINA",27121,19930130,8800854
"CHINA",27415,19970826,581932
"INDIA",11899,19950105,7147463
"VIETNAM",15010,19920103,2309435
"CHINA",21739,19970516,4464620
"INDONESIA",3094,19960908,3340603
"CHINA",3094,19960908,7670970
"INDIA",1912,19970813,5226275
"INDIA",27641,19930403,929926
"INDONESIA",27641,19930403,6276247
"CHINA",27641,19930403,6259313
"CHINA",11030,19960714,2651337
"INDONESIA",7159,19920531,1102357
"CHINA",26162,19930215,3991518
"JAPAN",26162,19930215,1129096
"INDONESIA",19897,19940722,3681210
"INDONESIA",15200,19960307,2088671
"VIETNAM",15200,19960307,6687385
"VIETNAM",15200,19960307,3073000
"INDIA",7826,19980703,4029926
"JAPAN",9313,19930426,8117296
"VIETNAM",17,19941001,9966701
"INDIA",17,19941001,4219626
"INDIA",17,19941001,3326584
"INDONESIA",5837,19920107,6349500
"INDONESIA",5837,19920107,418896
"JAPAN",29162,19960514,1810545
"INDIA",29162,19960514,4434538
"JAPAN",29162,19960514,4823472
"INDIA",29233,19940217,2167985
"INDONESIA",24448,19940909,6158266
"JAPAN",24304,19980322,3743964
"JAPAN",3118,19920105,4489946
"INDIA",22807,19950222,7882174
"INDIA",5521,19930517,3871463
"INDONESIA",5521,19930517,9262381
"INDIA",6451,19980327,3917354
"CHINA",27097,19961207,108617
"CHINA",27097,19961207,5399455
"INDONESIA",19132,19950117,4030528
"CHINA",23762,19971127,3041542
"INDONESIA",23762,19971127,4562271
"INDONESIA",28801,19920202,2444535
"CHINA",28801,19920202,7914903
"VIETNAM",6739,19960926,1848069
"INDIA",6739,19960926,3785034
"INDIA",11909,19960821,3428179
"INDIA",11909,19960821,974147
"VIETNAM",7729,19940215,3695855
"VIETNAM",7729,19940215,3162867
"INDIA",7435,19970620,2382115
"CHINA",7435,19970620,4257662
"CHINA",27512,19971217,7755695
"VIETNAM",27512,19971217,7239314
"CHINA",3493,19960803,6898396
"INDIA",11614,19951223,2804994
"INDONESIA",6433,19970814,5385682
"JAPAN",6433,19970814,3332763
"JAPAN",7160,19980422,6989316
"INDIA",7160,19980422,1796081
"VIETNAM",3529,19921006,7365221
"CHINA",3529,19921006,5031678
"CHINA",4466,19950306,5413881
"VIETNAM",16333,19980710,3195616
"INDONESIA",16333,19980710,5924804
"JAPAN",16333,19980710,8142241
"CHINA",26938,19931102,1766674
"JAPAN",17045,19960424,2637971
"INDIA",2434,19950319,3289716
"CHINA",14474,19930623,4956819
"INDONESIA",21722,19970206,1258324
"INDIA",18329,19961029,2876379
"VIETNAM",6139,19941121,789861
"VIETNAM",2864,19950411,4698724
"INDIA",6883,19940428,2406122
"INDONESIA",6883,19940428,3718713
"INDIA",14692,19970325,496020
"INDIA",25969,19920107,4609339
"JAPAN",4031,19950324,1862580
"VIETNAM",49,19930426,1159844
"JAPAN",24961,19980115,3575619
"VIETNAM",24961,19980115,269973
"INDONESIA",2210,19950104,4283036
"INDONESIA",2210,19950104,4814439
"JAPAN",17276,19920906,3679764
"JAPAN",17276,19920906,281991
"INDONESIA",6214,19970718,4525155
"CHINA",6214,19970718,3637062
"INDIA",6214,19970718,4053093
"INDIA",2747,19950108,6607394
"VIETNAM",2747,19950108,3868906
"VIETNAM",2747,19950108,643242
"CHINA",6211,19940205,2427606
"INDONESIA",21778,19950917,3197391
"INDIA",12283,19950126,2007993
"INDIA",7973,19951230,5531356
"VIETNAM",7315,19980131,824826
"CHINA",15466,19960924,5659715
"INDONESIA",27029,19950609,4125828
"INDIA",27029,19950609,355156
"INDONESIA",11234,19920926,5451353
"INDIA",19357,19951116,720492
"JAPAN",29749,19961103,1518468
"INDIA",29749,19961103,3483667
"INDIA",14719,19930804,3763447
"INDONESIA",2257,19971016,2324537
"JAPAN",10435,19940611,4390273
"INDONESIA",9226,19920530,423071
"VIETNAM",20420,19950220,353619
"JAPAN",8572,19940105,3408822
"INDONESIA",8572,19940105,1626431
"INDONESIA",15556,19950213,3309824
"CHINA",15295,19970506,4898896
"VIETNAM",15295,19970506,5549424
"INDONESIA",19684,19961111,3821818
"INDONESIA",25340,19980301,6922484
"INDIA",25340,19980301,3689140
"INDIA",25340,19980301,709976
"INDIA",29300,19930730,2144945
"INDIA",29300,19930730,6930609
"JAPAN",26671,19930712,2459106
"VIETNAM",26671,19930712,3959023
"VIETNAM",22771,19970105,4401961
"INDONESIA",22771,19970105,7831768
"INDIA",22771,19970105,2894920
"INDONESIA",1859,19920124,5256904
"CHINA",1859,19920124,7418216
"VIETNAM",27818,19940913,8209164
"CHINA",16070,19940227,4990502
"VIETNAM",16070,19940227,2872262
"CHINA",16070,19940227,5974341
"INDONESIA",17098,19960801,3780791
"VIETNAM",13544,19960401,2770675
"INDIA",2893,19960404,623091
"INDONESIA",2893,19960404,2425966
"INDIA",29831,19930319,1340639
"JAPAN",29831,19930319,137763
"CHINA",24721,19960530,2384915
"CHINA",24721,19960530,6360454
"JAPAN",29467,19950228,2185439
"CHINA",29467,19950228,5301590
"VIETNAM",29467,19950228,3261143
"JAPAN",23062,19940216,121294
"CHINA",20749,19961220,3878660
"INDONESIA",17668,19980404,224827
"INDONESIA",3445,19970820,1485310
"VIETNAM",20185,19930926,274317
"INDONESIA",9523,19950718,6513432
"JAPAN",7817,19980429,5246592
"VIETNAM",7817,19980429,753288
"VIETNAM",24814,19980425,1296519
"VIETNAM",15938,19930925,4128918
"INDIA",28144,19930630,3502061
"INDONESIA",28144,19930630,5051931
"JAPAN",29215,19960605,7692443
"CHINA",29215,19960605,3895113
"INDIA",1822,19920219,6834547
"CHINA",8353,19930305,4548577
"VIETNAM",11657,19941127,3392665
"CHINA",27301,19980215,3279213
"CHINA",4004,19970310,3882980
"CHINA",4612,19940319,4753542
"INDONESIA",4612,19940319,6200393
"VIETNAM",28325,19950225,4016299
"JAPAN",3077,19970701,6941553
"JAPAN",3077,19970701,5302351
